,Anchor,Concept1,Concept2,Category,prompt,gpt_response,gpt_choice
584,Salamander,Lizard,Tortoise,reptile,"Answer using only only word - ""Lizard"" or ""Tortoise"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","turtle""",fill manually
585,Tortoise,Alligator,Caiman,reptile,"Answer using only only word - ""Alligator"" or ""Caiman"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Alligator""",Alligator
586,Boa python,Grinding disk,Vacuum,reptile,"Answer using only only word - ""Grinding disk"" or ""Vacuum"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",grinding disk,fill manually
587,Paint brush,Boa python,Hammer,tool,"Answer using only only word - ""Boa python"" or ""Hammer"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?",a hammer is a tool for pounding,fill manually
588,Grinding disk,Anvil,Crocodile,tool,"Answer using only only word - ""Anvil"" or ""Crocodile"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Anvil""",Anvil
589,Oil can,Hammer,Spanner,tool,"Answer using only only word - ""Hammer"" or ""Spanner"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Spanner,Spanner
590,Oil can,Hammer,Nail,tool,"Answer using only only word - ""Hammer"" or ""Nail"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Nail,Nail
591,Chisel,Anvil,Crocodile,tool,"Answer using only only word - ""Anvil"" or ""Crocodile"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Anvil""",Anvil
592,Spanner,Blindworm,Turtle,tool,"Answer using only only word - ""Blindworm"" or ""Turtle"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Blindworm,Blindworm
593,Caiman,Hammer,Paint brush,reptile,"Answer using only only word - ""Hammer"" or ""Paint brush"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Hammer""",Hammer
594,Anvil,Axe,Snake,tool,"Answer using only only word - ""Axe"" or ""Snake"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Axe""",Axe
595,Lizard,Blindworm,Tortoise,reptile,"Answer using only only word - ""Blindworm"" or ""Tortoise"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Tortoise""",Tortoise
596,Snake,Dinosaur,Knife,reptile,"Answer using only only word - ""Dinosaur"" or ""Knife"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","dinosaurs""",fill manually
597,Chameleon,Blindworm,Gecko,reptile,"Answer using only only word - ""Blindworm"" or ""Gecko"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Blindworm""",Blindworm
598,Oil can,Blindworm,Gecko,tool,"Answer using only only word - ""Blindworm"" or ""Gecko"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Blindworm,Blindworm
599,Toad,Cobra,Dinosaur,reptile,"Answer using only only word - ""Cobra"" or ""Dinosaur"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Cobra""",Cobra
600,Turtle,Boa python,Cobra,reptile,"Answer using only only word - ""Boa python"" or ""Cobra"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?",snake,fill manually
601,Chisel,Blindworm,Lawn Mower,tool,"Answer using only only word - ""Blindworm"" or ""Lawn Mower"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Ch""",fill manually
602,Hammer,Grinding disk,Lawn Mower,tool,"Answer using only only word - ""Grinding disk"" or ""Lawn Mower"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","Hammer""",Fill manually
603,Salamander,Chisel,Knife,reptile,"Answer using only only word - ""Chisel"" or ""Knife"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","""",fill manually
604,Toad,Turtle,Vacuum,reptile,"Answer using only only word - ""Turtle"" or ""Vacuum"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Turtle""",Turtle
605,Oil can,Screwdriver,Toad,tool,"Answer using only only word - ""Screwdriver"" or ""Toad"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","Toad""",Toad
606,Chameleon,Blindworm,Shovel,reptile,"Answer using only only word - ""Blindworm"" or ""Shovel"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Shovel""",Shovel
607,Anvil,Knife,Vacuum,tool,"Answer using only only word - ""Knife"" or ""Vacuum"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?",Knife,Knife
608,Paint brush,Knife,Spanner,tool,"Answer using only only word - ""Knife"" or ""Spanner"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","Knife""",Knife
609,Shovel,Lizard,Spanner,tool,"Answer using only only word - ""Lizard"" or ""Spanner"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?",Spanner,Spanner
610,Lawn Mower,Hammer,Oil can,tool,"Answer using only only word - ""Hammer"" or ""Oil can"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Hammer""",Hammer
611,Chameleon,Knife,Salamander,reptile,"Answer using only only word - ""Knife"" or ""Salamander"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Salamander""",Salamander
612,Oil can,Shovel,Spanner,tool,"Answer using only only word - ""Shovel"" or ""Spanner"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Shovel,Shovel
613,Turtle,Caiman,Cobra,reptile,"Answer using only only word - ""Caiman"" or ""Cobra"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","Caiman""",Caiman
614,Gecko,Alligator,Toad,reptile,"Answer using only only word - ""Alligator"" or ""Toad"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?",Toad,Toad
615,Cobra,Dinosaur,Lawn Mower,reptile,"Answer using only only word - ""Dinosaur"" or ""Lawn Mower"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?","Cobra""",Fill manually
616,Paint brush,Shovel,Vacuum,tool,"Answer using only only word - ""Shovel"" or ""Vacuum"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","Pa""",fill manually
617,Salamander,Spanner,Tortoise,reptile,"Answer using only only word - ""Spanner"" or ""Tortoise"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","salamander""",fill manually
618,Knife,Boa python,Caiman,tool,"Answer using only only word - ""Boa python"" or ""Caiman"" and not ""Knife"".Which is more similar in meaning to ""Knife""?",the shape of a snake,fill manually
619,Toad,Caiman,Vacuum,reptile,"Answer using only only word - ""Caiman"" or ""Vacuum"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Caiman""",Caiman
620,Screwdriver,Hammer,Lizard,tool,"Answer using only only word - ""Hammer"" or ""Lizard"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","Hammer""",Hammer
621,Screwdriver,Chisel,Nail,tool,"Answer using only only word - ""Chisel"" or ""Nail"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","Nail""",Nail
622,Lawn Mower,Boa python,Vacuum,tool,"Answer using only only word - ""Boa python"" or ""Vacuum"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?",Boa python,Boa python
623,Chameleon,Alligator,Gecko,reptile,"Answer using only only word - ""Alligator"" or ""Gecko"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Alligator""",Alligator
624,Spanner,Paint brush,Saw,tool,"Answer using only only word - ""Paint brush"" or ""Saw"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Saw,Saw
625,Grinding disk,Lawn Mower,Vacuum,tool,"Answer using only only word - ""Lawn Mower"" or ""Vacuum"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","G""",fill manually
626,Grinding disk,Lizard,Vacuum,tool,"Answer using only only word - ""Lizard"" or ""Vacuum"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Vacuum""",Vacuum
627,Caiman,Blindworm,Screwdriver,reptile,"Answer using only only word - ""Blindworm"" or ""Screwdriver"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Screwdriver""",Screwdriver
628,Axe,Boa python,Lizard,tool,"Answer using only only word - ""Boa python"" or ""Lizard"" and not ""Axe"".Which is more similar in meaning to ""Axe""?",snake,fill manually
629,Oil can,Chisel,Snake,tool,"Answer using only only word - ""Chisel"" or ""Snake"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","Snake""",Snake
630,Vacuum,Blindworm,Nail,tool,"Answer using only only word - ""Blindworm"" or ""Nail"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?",Nail,Nail
631,Tortoise,Axe,Snake,reptile,"Answer using only only word - ""Axe"" or ""Snake"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?",Axe,Axe
632,Hammer,Cobra,Lizard,tool,"Answer using only only word - ""Cobra"" or ""Lizard"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?",Cobra,Cobra
633,Saw,Boa python,Screwdriver,tool,"Answer using only only word - ""Boa python"" or ""Screwdriver"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","the word ""python""",fill manually
634,Vacuum,Knife,Snake,tool,"Answer using only only word - ""Knife"" or ""Snake"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Knife""",Knife
635,Anvil,Shovel,Toad,tool,"Answer using only only word - ""Shovel"" or ""Toad"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?",Shovel,Shovel
636,Lawn Mower,Caiman,Hammer,tool,"Answer using only only word - ""Caiman"" or ""Hammer"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Caiman""",Caiman
637,Snake,Dinosaur,Spanner,reptile,"Answer using only only word - ""Dinosaur"" or ""Spanner"" and not ""Snake"".Which is more similar in meaning to ""Snake""?",Spanner,Spanner
638,Blindworm,Caiman,Knife,reptile,"Answer using only only word - ""Caiman"" or ""Knife"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","Caiman""",Caiman
639,Turtle,Axe,Knife,reptile,"Answer using only only word - ""Axe"" or ""Knife"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","Axe""",Axe
640,Anvil,Cobra,Lizard,tool,"Answer using only only word - ""Cobra"" or ""Lizard"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?",Cobra,Cobra
641,Caiman,Axe,Crocodile,reptile,"Answer using only only word - ""Axe"" or ""Crocodile"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?",Axe,Axe
642,Anvil,Chameleon,Lawn Mower,tool,"Answer using only only word - ""Chameleon"" or ""Lawn Mower"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Chameleon""",Chameleon
643,Alligator,Chisel,Lawn Mower,reptile,"Answer using only only word - ""Chisel"" or ""Lawn Mower"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","Alligator""",Fill manually
644,Vacuum,Oil can,Snake,tool,"Answer using only only word - ""Oil can"" or ""Snake"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?",Oil can,Oil can
645,Nail,Crocodile,Snake,tool,"Answer using only only word - ""Crocodile"" or ""Snake"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Nail""",Fill manually
646,Cobra,Screwdriver,Spanner,reptile,"Answer using only only word - ""Screwdriver"" or ""Spanner"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Screwdriver,Screwdriver
647,Toad,Dinosaur,Saw,reptile,"Answer using only only word - ""Dinosaur"" or ""Saw"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Toad""",Fill manually
648,Paint brush,Boa python,Crocodile,tool,"Answer using only only word - ""Boa python"" or ""Crocodile"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?",reptile,fill manually
649,Screwdriver,Nail,Saw,tool,"Answer using only only word - ""Nail"" or ""Saw"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","Nail""",Nail
650,Toad,Hammer,Nail,reptile,"Answer using only only word - ""Hammer"" or ""Nail"" and not ""Toad"".Which is more similar in meaning to ""Toad""?",Nail,Nail
651,Blindworm,Grinding disk,Toad,reptile,"Answer using only only word - ""Grinding disk"" or ""Toad"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?",Toad,Toad
652,Boa python,Axe,Gecko,reptile,"Answer using only only word - ""Axe"" or ""Gecko"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",a lizard,fill manually
653,Axe,Knife,Turtle,tool,"Answer using only only word - ""Knife"" or ""Turtle"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","Knife""",Knife
654,Knife,Lizard,Paint brush,tool,"Answer using only only word - ""Lizard"" or ""Paint brush"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Paintbrush""",fill manually
655,Oil can,Chameleon,Nail,tool,"Answer using only only word - ""Chameleon"" or ""Nail"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Nail,Nail
656,Nail,Boa python,Caiman,tool,"Answer using only only word - ""Boa python"" or ""Caiman"" and not ""Nail"".Which is more similar in meaning to ""Nail""?",snakes,fill manually
657,Grinding disk,Crocodile,Shovel,tool,"Answer using only only word - ""Crocodile"" or ""Shovel"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Crocodile""",Crocodile
658,Chisel,Axe,Nail,tool,"Answer using only only word - ""Axe"" or ""Nail"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Axe""",Axe
659,Caiman,Anvil,Paint brush,reptile,"Answer using only only word - ""Anvil"" or ""Paint brush"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Anvil""",Anvil
660,Spanner,Chisel,Cobra,tool,"Answer using only only word - ""Chisel"" or ""Cobra"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Cobra,Cobra
661,Lizard,Anvil,Tortoise,reptile,"Answer using only only word - ""Anvil"" or ""Tortoise"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Anvil""",Anvil
662,Saw,Salamander,Turtle,tool,"Answer using only only word - ""Salamander"" or ""Turtle"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Salamander""",Salamander
663,Turtle,Axe,Lizard,reptile,"Answer using only only word - ""Axe"" or ""Lizard"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?",Axe,Axe
664,Saw,Lawn Mower,Vacuum,tool,"Answer using only only word - ""Lawn Mower"" or ""Vacuum"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Sa""",fill manually
665,Chisel,Lawn Mower,Tortoise,tool,"Answer using only only word - ""Lawn Mower"" or ""Tortoise"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?",lawn mower,fill manually
666,Vacuum,Knife,Turtle,tool,"Answer using only only word - ""Knife"" or ""Turtle"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Turtle""",Turtle
667,Crocodile,Lawn Mower,Nail,reptile,"Answer using only only word - ""Lawn Mower"" or ""Nail"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","Nail""",Nail
668,Chameleon,Boa python,Shovel,reptile,"Answer using only only word - ""Boa python"" or ""Shovel"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?",Boa python,Boa python
669,Lawn Mower,Chameleon,Toad,tool,"Answer using only only word - ""Chameleon"" or ""Toad"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Chameleon""",Chameleon
670,Cobra,Lizard,Turtle,reptile,"Answer using only only word - ""Lizard"" or ""Turtle"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",snake,fill manually
671,Salamander,Lawn Mower,Vacuum,reptile,"Answer using only only word - ""Lawn Mower"" or ""Vacuum"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","lawn mower""",fill manually
672,Snake,Axe,Caiman,reptile,"Answer using only only word - ""Axe"" or ""Caiman"" and not ""Snake"".Which is more similar in meaning to ""Snake""?",Axe,Axe
673,Vacuum,Gecko,Turtle,tool,"Answer using only only word - ""Gecko"" or ""Turtle"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Gecko""",Gecko
674,Tortoise,Grinding disk,Screwdriver,reptile,"Answer using only only word - ""Grinding disk"" or ""Screwdriver"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?",grinding disk,fill manually
675,Toad,Knife,Turtle,reptile,"Answer using only only word - ""Knife"" or ""Turtle"" and not ""Toad"".Which is more similar in meaning to ""Toad""?",Knife,Knife
